Calc. Date= 04-04-2023. Time= 17:32:29
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  800000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 6.5786E+05  9.8440E+08 -3.2113E+06 -2.1414E+06  1.5516E-01  4.2589E+02
0000001 6.5700E+05  9.9064E+08 -3.2355E+06 -2.1480E+06  1.5530E-01  2.0076E+01
0000001 6.5591E+05  9.9843E+08 -3.2656E+06 -2.1541E+06  1.5548E-01  1.1317E+01
0000001 6.5498E+05  1.0046E+09 -3.2908E+06 -2.1590E+06  1.5563E-01  6.8338E+00
0000001 6.5387E+05  1.0124E+09 -3.3220E+06 -2.1640E+06  1.5580E-01  1.7233E+02
0000001 6.5294E+05  1.0186E+09 -3.3463E+06 -2.1652E+06  1.5595E-01  8.5029E+00
0000001 6.5176E+05  1.0264E+09 -3.3764E+06 -2.1670E+06  1.5614E-01  3.5108E+01
0000001 6.5095E+05  1.0310E+09 -3.3941E+06 -2.1672E+06  1.5628E-01  5.1364E+00
0000001 6.4982E+05  1.0388E+09 -3.4233E+06 -2.1667E+06  1.5646E-01  9.0100E+00
0000001 6.4887E+05  1.0449E+09 -3.4464E+06 -2.1667E+06  1.5662E-01  4.8515E+00
0000001 6.4790E+05  1.0511E+09 -3.4709E+06 -2.1719E+06  1.5678E-01  5.8912E+00
0000001 6.4686E+05  1.0573E+09 -3.4988E+06 -2.1909E+06  1.5695E-01  7.1567E+00
0000001 6.4576E+05  1.0650E+09 -3.5351E+06 -2.2130E+06  1.5714E-01  3.5003E+00
0000001 6.4478E+05  1.0711E+09 -3.5636E+06 -2.2306E+06  1.5730E-01  4.5274E+00
0000001 6.4399E+05  1.0757E+09 -3.5846E+06 -2.2436E+06  1.5743E-01  3.2011E+02
0000001 6.4285E+05  1.0834E+09 -3.6147E+06 -2.2640E+06  1.5762E-01  3.2747E+00
0000001 6.4185E+05  1.0895E+09 -3.6375E+06 -2.2809E+06  1.5778E-01  1.2869E+01
0000001 6.4086E+05  1.0957E+09 -3.6599E+06 -2.2985E+06  1.5795E-01  6.9316E+00
0000001 6.3986E+05  1.1018E+09 -3.6834E+06 -2.3169E+06  1.5811E-01  1.1507E+01
0000001 6.3889E+05  1.1079E+09 -3.7113E+06 -2.3352E+06  1.5827E-01  5.9061E+00
0000001 6.3797E+05  1.1140E+09 -3.7391E+06 -2.3533E+06  1.5843E-01  7.1993E+00
0000001 6.3680E+05  1.1216E+09 -3.7726E+06 -2.3761E+06  1.5862E-01  1.2746E+02
0000001 6.3591E+05  1.1277E+09 -3.7980E+06 -2.3923E+06  1.5878E-01  4.1741E+00
0000001 6.3499E+05  1.1338E+09 -3.8234E+06 -2.4093E+06  1.5893E-01  6.5687E+00
0000001 6.3378E+05  1.1414E+09 -3.8564E+06 -2.4299E+06  1.5914E-01  7.2298E+00
0000001 6.3279E+05  1.1475E+09 -3.8829E+06 -2.4458E+06  1.5931E-01  4.5104E+01
0000001 6.3197E+05  1.1535E+09 -3.9087E+06 -2.4624E+06  1.5944E-01  4.0641E+01
0000001 6.3077E+05  1.1611E+09 -3.9390E+06 -2.4826E+06  1.5965E-01  6.0872E+00
0000001 6.2979E+05  1.1672E+09 -3.9645E+06 -2.4987E+06  1.5981E-01  3.4170E+00
0000001 6.2896E+05  1.1717E+09 -3.9842E+06 -2.5114E+06  1.5996E-01  7.5896E+00
0000001 6.2797E+05  1.1777E+09 -4.0113E+06 -2.5294E+06  1.6012E-01  1.0553E+01
0000001 6.2687E+05  1.1838E+09 -4.0391E+06 -2.5486E+06  1.6031E-01  1.0307E+01
0000001 6.2582E+05  1.1898E+09 -4.0685E+06 -2.5670E+06  1.6049E-01  3.3903E+01
0000001 6.2485E+05  1.1958E+09 -4.0995E+06 -2.5855E+06  1.6066E-01  4.6627E+00
0000001 6.2385E+05  1.2018E+09 -4.1324E+06 -2.6044E+06  1.6083E-01  4.3008E+00
0000001 6.2295E+05  1.2078E+09 -4.1652E+06 -2.6238E+06  1.6099E-01  4.7898E+00
0000001 6.2179E+05  1.2153E+09 -4.2067E+06 -2.6483E+06  1.6119E-01  9.8860E+00
0000001 6.2091E+05  1.2213E+09 -4.2407E+06 -2.6680E+06  1.6134E-01  8.5880E+00
0000001 6.1981E+05  1.2288E+09 -4.2846E+06 -2.6927E+06  1.6153E-01  1.3705E+02
0000001 6.1885E+05  1.2348E+09 -4.3180E+06 -2.7148E+06  1.6170E-01  2.0111E+01
0000001 6.1790E+05  1.2407E+09 -4.3510E+06 -2.7362E+06  1.6187E-01  4.4718E+00
0000001 6.1691E+05  1.2467E+09 -4.3851E+06 -2.7574E+06  1.6204E-01  6.2969E+00
0000001 6.1577E+05  1.2541E+09 -4.4278E+06 -2.7843E+06  1.6224E-01  2.9961E+01
0000001 6.1499E+05  1.2586E+09 -4.4541E+06 -2.8007E+06  1.6237E-01  4.6523E+00
0000001 6.1400E+05  1.2645E+09 -4.4879E+06 -2.8226E+06  1.6255E-01  1.1159E+01
0000001 6.1276E+05  1.2719E+09 -4.5314E+06 -2.8496E+06  1.6276E-01  8.8531E+00
0000001 6.1181E+05  1.2779E+09 -4.5670E+06 -2.8697E+06  1.6293E-01  2.2022E+01
0000001 6.1078E+05  1.2838E+09 -4.6024E+06 -2.8893E+06  1.6312E-01  4.1596E+00
0000001 6.0989E+05  1.2897E+09 -4.6381E+06 -2.9090E+06  1.6328E-01  1.4988E+03
0000001 6.0892E+05  1.2956E+09 -4.6791E+06 -2.9327E+06  1.6345E-01  2.0303E+01
0000001 6.0789E+05  1.3015E+09 -4.7211E+06 -2.9574E+06  1.6363E-01  1.1588E+01
0000001 6.0691E+05  1.3074E+09 -4.7639E+06 -2.9830E+06  1.6381E-01  1.3709E+01
0000001 6.0584E+05  1.3133E+09 -4.8049E+06 -3.0088E+06  1.6400E-01  2.0569E+01
